,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Temp,Wind Speed
0,Hobart,75,AU,1535236200,61,-42.88,147.33,48.2,48.2,13.87
1,Yellowknife,75,CA,1535234400,71,62.45,-114.38,51.8,51.8,11.41
2,Ushuaia,75,AR,1535234400,100,-54.81,-68.31,41.0,41.0,19.46
3,Fortuna,0,ES,1535236200,69,38.18,-1.13,80.6,80.6,9.17
4,Gizo,40,IL,1535235600,74,31.8,34.94,78.8,78.8,4.7
5,Avarua,20,CK,1535234400,74,-21.21,-159.78,80.6,80.6,8.05
6,Umtata,0,ZA,1535234400,67,-31.59,28.78,57.2,57.2,3.36
7,Yatou,40,CM,1535234400,94,3.63,9.81,75.2,75.2,3.36
8,Arraial do Cabo,75,BR,1535234400,88,-22.97,-42.02,71.6,71.6,3.36
9,Hilo,90,US,1535234760,96,19.71,-155.08,75.02,75.02,4.7
10,Mataura,0,NZ,1535237325,76,-46.19,168.86,55.73,55.73,17.72
11,Leningradskiy,76,RU,1535237325,100,69.38,178.42,36.47,36.47,9.44
12,Punta Arenas,75,CL,1535234400,75,-53.16,-70.91,42.8,42.8,10.29
13,Praya,40,ID,1535236200,88,-8.71,116.27,71.6,71.6,2.24
14,Port Elizabeth,1,US,1535234160,64,39.31,-74.98,78.98,77.65,8.05
15,Atuona,100,PF,1535237326,100,-9.8,-139.03,78.86,78.86,19.62
16,Sainte-Rose,75,CA,1535234400,42,45.61,-73.79,82.4,80.6,6.93
17,Rabo de Peixe,40,PT,1535236200,78,37.8,-25.58,71.6,71.6,10.29
18,Wonthaggi,48,AU,1535237327,87,-38.6,145.59,49.97,49.97,3.74
19,Rikitea,0,PF,1535237327,100,-23.12,-134.97,72.83,72.83,13.8
20,Port Lincoln,32,AU,1535237328,96,-34.72,135.86,56.0,56.0,5.64
21,Penzance,80,GB,1535233800,87,50.12,-5.53,50.0,50.0,6.93
22,Santa Isabel do Rio Negro,0,BR,1535237328,89,-0.41,-65.02,77.87,77.87,2.95
23,Dikson,92,RU,1535237328,100,73.51,80.55,45.83,45.83,14.03
24,Castro,92,CL,1535237329,97,-42.48,-73.76,49.88,49.88,8.66
25,Chitral,0,PK,1535237329,55,35.85,71.79,36.47,36.47,0.38
26,Piat,92,PH,1535237329,99,17.79,121.48,72.29,72.29,2.62
27,Cam Ranh,56,VN,1535237330,91,11.92,109.15,80.84,80.84,6.42
28,Comodoro Rivadavia,0,AR,1535234400,45,-45.87,-67.48,64.4,64.4,25.28
29,Tiksi,0,RU,1535237330,99,71.64,128.87,46.82,46.82,3.06
30,Busselton,88,AU,1535237331,100,-33.64,115.35,53.39,53.39,8.21
31,Yar-Sale,0,RU,1535237331,100,66.83,70.83,48.17,48.17,19.62
32,Salalah,90,OM,1535233800,100,17.01,54.1,73.4,73.4,4.7
33,La Reforma,20,GT,1535234400,66,14.8,-91.82,87.8,87.8,9.17
34,Nabire,80,ID,1535237332,93,-3.36,135.5,71.21,71.21,1.16
35,Qaanaaq,0,GL,1535237332,92,77.48,-69.36,37.19,37.19,7.76
36,Thompson,90,CA,1535234400,93,55.74,-97.86,46.4,46.4,5.82
37,Saint-Philippe,1,CA,1535236500,44,45.36,-73.48,82.4,79.97,5.82
38,Grindavik,0,IS,1535234400,75,63.84,-22.43,48.2,47.35,6.93
39,Chokurdakh,92,RU,1535237333,94,70.62,147.9,44.03,44.03,8.43
40,Pangnirtung,32,CA,1535237333,96,66.15,-65.72,40.25,40.25,6.2
41,Pljevlja,0,ME,1535236200,77,43.36,19.36,62.6,62.6,3.36
42,Ketchikan,90,US,1535234160,64,55.34,-131.65,64.04,63.01,12.75
43,Jamestown,8,AU,1535237334,64,-33.21,138.6,52.85,52.85,3.96
44,Gold Coast,90,AU,1535236200,93,-28.0,153.41,60.8,60.8,5.82
45,Formosa,0,AR,1535234400,44,-26.19,-58.17,57.2,57.2,3.36
46,Mnogovershinnyy,24,RU,1535237335,79,53.94,139.92,65.0,65.0,2.73
47,Norman Wells,90,CA,1535234400,93,65.28,-126.83,51.8,51.8,2.24
48,Bulgan,0,MN,1535237336,88,48.81,103.53,50.06,50.06,2.73
49,Qaqortoq,75,GL,1535233800,81,60.72,-46.03,44.6,44.6,6.93
50,Carnarvon,0,ZA,1535237336,79,-30.97,22.13,36.92,36.92,13.69
51,Ostrovnoy,80,RU,1535237336,70,68.05,39.51,62.39,62.39,17.6
